query,shows,note
ветеринарная клиника метро смоленская,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника киевская,,точного совпадения фразы в ответе нет
ветеринарная клиника метро киевская,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника спортивная,,точного совпадения фразы в ответе нет
ветеринарная клиника цао,27,
ветеринарный хирург цао,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника центр москвы,36,
ветклиника рядом со мной,1886,
ветеринар рядом со мной москва,,точного совпадения фразы в ответе нет
круглосуточная ветклиника хамовники,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринарная клиника ростовская набережная,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника проспект комсомольский,,точного совпадения фразы в ответе нет
круглосуточная ветеринарная клиника москва,,точного совпадения фразы в ответе нет
экстренная операция животному москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
срочная операция собаке москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
вызов ветеринарного хирурга на дом москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
второе мнение ветеринар москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
консультация ветеринарного хирурга москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
эндоскопическая операция животным москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
малоинвазивная операция животным москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
стационар для животных после операции москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
реанимация для животных москва,,точного совпадения фразы в ответе нет
лучший ветеринарный хирург москвы,,точного совпадения фразы в ответе нет
ветеринарная клиника премиум класса москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветклиника с современным оборудованием москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
кт животным москва,,точного совпадения фразы в ответе нет
мрт животным москва,,точного совпадения фразы в ответе нет
анестезиолог ветеринарный москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
кот не встаёт на задние лапы,12,
собака не ест несколько дней что делать,2,
кота рвёт что делать,,точного совпадения фразы в ответе нет
у собаки вздулся живот,36,
кошка тяжело дышит,186,
собака хромает на заднюю лапу,84,
у кошки шишка на животе,,точного совпадения фразы в ответе нет
у собаки опухоль что делать,,точного совпадения фразы в ответе нет
кот не может сходить в туалет по маленькому,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
собака скулит от боли,17,
у кошки кровь в моче,,точного совпадения фразы в ответе нет
собака вялая и дрожит,,точного совпадения фразы в ответе нет
кот отказался от еды и прячется,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
у собаки открылась рана что делать,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
вывих коленной чашечки у таксы операция,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
брахицефальный синдром мопс операция,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
брахицефальный синдром французский бульдог,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
мочекаменная болезнь у кота мейн кун лечение,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
заворот века у шарпея операция,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
дисплазия тазобедренного сустава у овчарки операция,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
грыжа межпозвоночного диска такса операция,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
заворот желудка у крупной собаки,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
разрыв связок у собаки операция цена,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция на ушах у кошки шотландской,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
можно ли делать операцию старой собаке,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
наркоз для пожилой кошки риски,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция коту 15 лет наркоз,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
удаление опухоли у старой собаки стоит ли,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
обследование перед операцией пожилой собаке,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринар для кролика москва,5,
операция кролику москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринар для шиншиллы москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринар по птицам москва хирург,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
операция черепахе москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
ветеринар для хорька москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
записаться к ветеринару москва,6,
первичный приём ветеринара цена москва,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
узи брюшной полости собаке цена,47,
анализы крови кошке москва,,точного совпадения фразы в ответе нет
рентген собаке москва,,точного совпадения фразы в ответе нет
вакцинация кошки москва цена,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
чипирование собаки москва,,точного совпадения фразы в ответе нет
стоматология для животных москва,,точного совпадения фразы в ответе нет
удаление зубного камня у собаки,,точного совпадения фразы в ответе нет
диспансеризация кошки,,точного совпадения фразы в ответе нет
ветклиника хамовники отзывы,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
рейтинг ветеринарных клиник москвы,,точного совпадения фразы в ответе нет
как выбрать ветеринарного хирурга,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
лучшая ветклиника цао отзывы,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
уход за кошкой после стерилизации,19,
уход за собакой после операции,4,
когда снимать швы у собаки после операции,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
кот после наркоза не ест что делать,,"списки фраз пусты; ключи ответа: ['associations', 'popular']"
попона после стерилизации кошки сколько носить,,точного совпадения фразы в ответе нет
